360 180
1.7650E+02 8.8500E+01 -1.15315E+03
1.7750E+02 8.8500E+01 -1.12968E+03
1.7850E+02 8.8500E+01 -1.13980E+03
1.7950E+02 8.8500E+01 -1.20562E+03
1.8050E+02 8.8500E+01 -1.30249E+03
1.8150E+02 8.8500E+01 -1.33552E+03
1.8250E+02 8.8500E+01 -1.68011E+03
1.8350E+02 8.8500E+01 -1.87714E+03
1.8450E+02 8.8500E+01 -2.09139E+03
1.8550E+02 8.8500E+01 -2.39498E+03
1.8650E+02 8.8500E+01 -2.56321E+03
1.8750E+02 8.8500E+01 -3.02376E+03
1.8850E+02 8.8500E+01 -3.16673E+03
1.8950E+02 8.8500E+01 -3.51866E+03
1.9050E+02 8.8500E+01 -3.60364E+03
1.9150E+02 8.8500E+01 -3.68785E+03
1.9250E+02 8.8500E+01 -3.80614E+03
1.9350E+02 8.8500E+01 -3.87035E+03
1.9450E+02 8.8500E+01 -3.84598E+03
1.9550E+02 8.8500E+01 -3.78720E+03
1.9650E+02 8.8500E+01 -3.77641E+03
1.9750E+02 8.8500E+01 -3.51997E+03
1.9850E+02 8.8500E+01 -3.47247E+03
