360 180
356.50000 88.50000 -4.27396e+03
357.50000 88.50000 -4.27549e+03
358.50000 88.50000 -4.27814e+03
359.50000 88.50000 -4.27975e+03
0.50000 87.50000 -4.31638e+03
1.50000 87.50000 -4.30999e+03
2.50000 87.50000 -4.30463e+03
3.50000 87.50000 -4.29201e+03
4.50000 87.50000 -4.28358e+03
5.50000 87.50000 -4.28211e+03
6.50000 87.50000 -4.28311e+03
7.50000 87.50000 -4.28048e+03
8.50000 87.50000 -4.27841e+03
9.50000 87.50000 -4.27559e+03
10.50000 87.50000 -4.27816e+03
11.50000 87.50000 -4.28300e+03
12.50000 87.50000 -4.29400e+03
13.50000 87.50000 -4.29900e+03
14.50000 87.50000 -4.30809e+03
